et_mm,fuente,label,lat,lon,periodo_fin,periodo_inicio
46.2,GF,2022-12_Q1,-19.689669877950884,147.22717515914223,2022-12-16,2022-12-01
40.0,GF,2022-12_Q2,-19.689669877950884,147.22717515914223,2023-01-01,2022-12-16
48.900000000000006,GF,2023-01_Q1,-19.689669877950884,147.22717515914223,2023-01-16,2023-01-01
62.7,GF,2023-01_Q2,-19.689669877950884,147.22717515914223,2023-02-01,2023-01-16
51.800000000000004,GF,2023-02_Q1,-19.689669877950884,147.22717515914223,2023-02-16,2023-02-01
53.300000000000004,GF,2023-02_Q2,-19.689669877950884,147.22717515914223,2023-03-01,2023-02-16
53.0,GF,2023-03_Q1,-19.689669877950884,147.22717515914223,2023-03-16,2023-03-01
42.0,GF,2023-03_Q2,-19.689669877950884,147.22717515914223,2023-04-01,2023-03-16
40.300000000000004,GF,2023-04_Q1,-19.689669877950884,147.22717515914223,2023-04-16,2023-04-01
17.400000000000002,GF,2023-04_Q2,-19.689669877950884,147.22717515914223,2023-05-01,2023-04-16
28.6,GF,2023-05_Q1,-19.689669877950884,147.22717515914223,2023-05-16,2023-05-01
22.6,GF,2023-05_Q2,-19.689669877950884,147.22717515914223,2023-06-01,2023-05-16
25.6,GF,2023-06_Q1,-19.689669877950884,147.22717515914223,2023-06-16,2023-06-01
22.5,GF,2023-06_Q2,-19.689669877950884,147.22717515914223,2023-07-01,2023-06-16
20.8,GF,2023-07_Q1,-19.689669877950884,147.22717515914223,2023-07-16,2023-07-01
24.1,GF,2023-07_Q2,-19.689669877950884,147.22717515914223,2023-08-01,2023-07-16
23.1,GF,2023-08_Q1,-19.689669877950884,147.22717515914223,2023-08-16,2023-08-01
22.200000000000003,GF,2023-08_Q2,-19.689669877950884,147.22717515914223,2023-09-01,2023-08-16
18.1,GF,2023-09_Q1,-19.689669877950884,147.22717515914223,2023-09-16,2023-09-01
12.400000000000002,GF,2023-09_Q2,-19.689669877950884,147.22717515914223,2023-10-01,2023-09-16
5.0,GF,2023-10_Q1,-19.689669877950884,147.22717515914223,2023-10-16,2023-10-01
18.9,GF,2023-10_Q2,-19.689669877950884,147.22717515914223,2023-11-01,2023-10-16
29.6,GF,2023-11_Q1,-19.689669877950884,147.22717515914223,2023-11-16,2023-11-01
34.6,GF,2023-11_Q2,-19.689669877950884,147.22717515914223,2023-12-01,2023-11-16
44.3,GF,2023-12_Q1,-19.689669877950884,147.22717515914223,2023-12-16,2023-12-01
44.400000000000006,GF,2023-12_Q2,-19.689669877950884,147.22717515914223,2024-01-01,2023-12-16
62.7,GF,2024-01_Q1,-19.689669877950884,147.22717515914223,2024-01-16,2024-01-01
55.400000000000006,GF,2024-01_Q2,-19.689669877950884,147.22717515914223,2024-02-01,2024-01-16
57.900000000000006,GF,2024-02_Q1,-19.689669877950884,147.22717515914223,2024-02-16,2024-02-01
54.800000000000004,GF,2024-02_Q2,-19.689669877950884,147.22717515914223,2024-03-01,2024-02-16
54.300000000000004,GF,2024-03_Q1,-19.689669877950884,147.22717515914223,2024-03-16,2024-03-01
48.0,GF,2024-03_Q2,-19.689669877950884,147.22717515914223,2024-04-01,2024-03-16
41.60000000000001,GF,2024-04_Q1,-19.689669877950884,147.22717515914223,2024-04-16,2024-04-01
40.900000000000006,GF,2024-04_Q2,-19.689669877950884,147.22717515914223,2024-05-01,2024-04-16
18.6,GF,2024-05_Q1,-19.689669877950884,147.22717515914223,2024-05-16,2024-05-01
33.0,GF,2024-05_Q2,-19.689669877950884,147.22717515914223,2024-06-01,2024-05-16
27.5,GF,2024-06_Q1,-19.689669877950884,147.22717515914223,2024-06-16,2024-06-01
25.9,GF,2024-06_Q2,-19.689669877950884,147.22717515914223,2024-07-01,2024-06-16
22.200000000000003,GF,2024-07_Q1,-19.689669877950884,147.22717515914223,2024-07-16,2024-07-01
19.5,GF,2024-07_Q2,-19.689669877950884,147.22717515914223,2024-08-01,2024-07-16
23.0,GF,2024-08_Q1,-19.689669877950884,147.22717515914223,2024-08-16,2024-08-01
26.6,GF,2024-08_Q2,-19.689669877950884,147.22717515914223,2024-09-01,2024-08-16
25.200000000000003,GF,2024-09_Q1,-19.689669877950884,147.22717515914223,2024-09-16,2024-09-01
22.300000000000004,GF,2024-09_Q2,-19.689669877950884,147.22717515914223,2024-10-01,2024-09-16
16.2,GF,2024-10_Q1,-19.689669877950884,147.22717515914223,2024-10-16,2024-10-01
14.0,GF,2024-10_Q2,-19.689669877950884,147.22717515914223,2024-11-01,2024-10-16
10.600000000000001,GF,2024-11_Q1,-19.689669877950884,147.22717515914223,2024-11-16,2024-11-01
34.3,GF,2024-11_Q2,-19.689669877950884,147.22717515914223,2024-12-01,2024-11-16
37.8,GF,2024-12_Q1,-19.689669877950884,147.22717515914223,2024-12-16,2024-12-01
38.2,GF,2024-12_Q2,-19.689669877950884,147.22717515914223,2025-01-01,2024-12-16
48.6,GF,2025-01_Q1,-19.689669877950884,147.22717515914223,2025-01-16,2025-01-01
47.0,GF,2025-01_Q2,-19.689669877950884,147.22717515914223,2025-02-01,2025-01-16
51.900000000000006,GF,2025-02_Q1,-19.689669877950884,147.22717515914223,2025-02-16,2025-02-01
61.9,GF,2025-02_Q2,-19.689669877950884,147.22717515914223,2025-03-01,2025-02-16
45.1,GF,2025-03_Q1,-19.689669877950884,147.22717515914223,2025-03-16,2025-03-01
43.800000000000004,GF,2025-03_Q2,-19.689669877950884,147.22717515914223,2025-04-01,2025-03-16
49.2,GF,2025-04_Q1,-19.689669877950884,147.22717515914223,2025-04-16,2025-04-01
18.400000000000002,GF,2025-04_Q2,-19.689669877950884,147.22717515914223,2025-05-01,2025-04-16
37.0,GF,2025-05_Q1,-19.689669877950884,147.22717515914223,2025-05-16,2025-05-01
31.700000000000003,GF,2025-05_Q2,-19.689669877950884,147.22717515914223,2025-06-01,2025-05-16
22.3,GF,2025-06_Q1,-19.689669877950884,147.22717515914223,2025-06-16,2025-06-01
24.0,GF,2025-06_Q2,-19.689669877950884,147.22717515914223,2025-07-01,2025-06-16
26.300000000000004,GF,2025-07_Q1,-19.689669877950884,147.22717515914223,2025-07-16,2025-07-01
26.5,GF,2025-07_Q2,-19.689669877950884,147.22717515914223,2025-08-01,2025-07-16
23.5,GF,2025-08_Q1,-19.689669877950884,147.22717515914223,2025-08-16,2025-08-01
17.4,GF,2025-08_Q2,-19.689669877950884,147.22717515914223,2025-09-01,2025-08-16
19.1,GF,2025-09_Q1,-19.689669877950884,147.22717515914223,2025-09-16,2025-09-01
14.100000000000001,GF,2025-09_Q2,-19.689669877950884,147.22717515914223,2025-10-01,2025-09-16
12.8,GF,2025-10_Q1,-19.689669877950884,147.22717515914223,2025-10-16,2025-10-01
26.1,GF,2025-10_Q2,-19.689669877950884,147.22717515914223,2025-11-01,2025-10-16
25.200000000000003,GF,2025-11_Q1,-19.689669877950884,147.22717515914223,2025-11-16,2025-11-01
22.6,GF,2025-11_Q2,-19.689669877950884,147.22717515914223,2025-12-01,2025-11-16
36.800000000000004,GF,2025-12_Q1,-19.689669877950884,147.22717515914223,2025-12-16,2025-12-01
32.6,GF,2025-12_Q2,-19.689669877950884,147.22717515914223,2026-01-01,2025-12-16
58.7,no-GF,2026-01_Q1,-19.689669877950884,147.22717515914223,2026-01-16,2026-01-01
62.6,no-GF,2026-01_Q2,-19.689669877950884,147.22717515914223,2026-02-01,2026-01-16
63.00000000000001,no-GF,2026-02_Q1,-19.689669877950884,147.22717515914223,2026-02-16,2026-02-01
62.50000000000001,no-GF,2026-02_Q2,-19.689669877950884,147.22717515914223,2026-03-01,2026-02-16
